name,ipaddress,state,cpunumber,cpuallocated,cpuspeed,memerytotal,memoryused,zonename,podname,clustername,hosttags,created
xs03,192.168.11.14,Up,32,72.12%,2600,134355658752,31014272,生产系统资源域,生产系统-POD,生产系统集群,xen-h3,2012-10-23T22:46:03+0800
xs04,192.168.11.15,Up,32,114.3%,2600,134355658752,64419408,生产系统资源域,生产系统-POD,生产系统集群,xen-h4,2012-10-24T00:13:12+0800
kvm-h2.gdcloud.com,192.168.11.17,Up,32,1.8%,2600,135301505024,5575924,集团门户资源域,集团门户-Pod,集团门户-Cluster,kvm-h2,2012-10-24T19:21:32+0800
xs05,192.168.11.18,Up,32,62.5%,2600,134345199744,32164288,生产系统资源域,生产系统-POD,生产系统集群,xen5,2013-03-07T12:44:01+0800
xs51.gdcloud.com,192.168.13.12,Up,32,93.75%,2600,134349981696,49084168,生产系统资源域,生产系统-POD2,gdupc-cluster1,xen51,2013-05-14T14:03:45+0800
xs202.gdcloud.com,192.168.14.13,Up,32,193.75%,2600,134352820224,124952160,信息系统域,信息系统-POD1,z3p1c1,xen202,2013-05-14T20:44:33+0800
xs07,192.168.11.20,Up,32,81.25%,2600,134355658752,38511328,生产系统资源域,生产系统-POD,生产系统集群,xen7,2013-05-14T20:47:21+0800
xs201.gdcloud.com,192.168.14.12,Up,32,150%,2600,134348042304,109884312,信息系统域,信息系统-POD1,z3p1c1,xen201,2013-05-14T21:49:51+0800
xs204.gdcloud.com,192.168.14.15,Up,32,146.25%,2000,100529952768,74030916,信息系统域,信息系统-POD1,z3p1c1,xen204,2013-07-12T14:51:03+0800
xs212.gdcloud.com,192.168.14.22,Up,32,147.81%,2000,100529968896,70069640,信息系统域,信息系统-POD1,z3p1c2,xen212,2013-08-02T17:43:16+0800
xs211.gdcloud.com,192.168.14.21,Up,32,172.19%,2000,100529952768,82756760,信息系统域,信息系统-POD1,z3p1c2,xen211,2013-08-06T13:15:22+0800
xs213.gdcloud.com,192.168.14.23,Up,32,133.05%,2600,134352820224,84373860,信息系统域,信息系统-POD1,z3p1c2,xen213,2013-08-14T18:18:14+0800
xs53.gdcloud.com,192.168.13.14,Up,32,144.95%,2600,134355658752,74732952,生产系统资源域,生产系统-POD2,gdupc-cluster1,xen53,2013-09-28T01:13:58+0800
xstest1.gdcloud.com,192.168.201.1,Up,32,63.1%,2600,134352820224,44984408,生产系统资源域,TEST-Z2POD201,test-z2p201c1,xstest1,2013-10-15T16:39:37+0800
xs221.gdcloud.com,192.168.14.221,Up,32,150%,2600,134348764032,104051912,信息系统域,信息系统-POD1,z3p1c3,xs221,2013-10-18T15:28:22+0800
xs223.gdcloud.com,192.168.14.223,Up,32,75%,2600,134344224000,53301248,信息系统域,信息系统-POD1,z3p1c3,xs222,2013-10-18T17:48:16+0800
xs222.gdcloud.com,192.168.14.222,Up,32,50.6%,2600,134343086976,36517472,信息系统域,信息系统-POD1,z3p1c3,xs222,2013-10-18T17:48:39+0800
xs203.gdcloud.com,192.168.14.14,Up,32,97.5%,2000,100529952768,61335796,信息系统域,信息系统-POD1,z3p1c1,xen203,2013-10-18T18:09:24+0800
xs224.gdcloud.com,192.168.14.224,Up,32,175%,2600,134349901056,120968648,信息系统域,信息系统-POD1,z3p1c3,xs224,2013-10-18T22:57:09+0800
xs225.gdcloud.com,192.168.14.225,Up,32,25%,2600,134343086976,19470136,信息系统域,信息系统-POD1,z3p1c3,xs225,2013-10-21T17:22:20+0800
xs226.gdcloud.com,192.168.13.15,Up,32,106.25%,2600,134351602560,49088896,生产系统资源域,生产系统-POD2,gdupc-cluster1,xs226,2013-10-23T16:38:33+0800
xs52.gdcloud.com,192.168.13.13,Up,32,81.25%,2600,134349981696,36397312,生产系统资源域,生产系统-POD2,gdupc-cluster1,xen52,2013-10-24T17:18:50+0800
xs231.gdcloud.com,192.168.14.231,Up,32,50%,2600,134345203776,36387312,信息系统域,信息系统-POD1,z3p1c4,xs231,2013-11-13T11:49:41+0800
xs232.gdcloud.com,192.168.14.232,Up,32,100%,2600,134345203776,70217492,信息系统域,信息系统-POD1,z3p1c4,xs232,2013-11-13T11:53:21+0800
xs233.gdcloud.com,192.168.14.233,Up,32,150%,2600,134345203776,104051896,信息系统域,信息系统-POD1,z3p1c4,xs233,2013-11-13T11:57:15+0800
xs234.gdcloud.com,192.168.14.234,Up,32,175.6%,2600,134345203776,121102388,信息系统域,信息系统-POD1,z3p1c4,xs234,2013-11-13T11:59:57+0800
xs235.gdcloud.com,192.168.14.235,Up,32,112.5%,2600,134344224000,78676360,信息系统域,信息系统-POD1,z3p1c4,xs235,2013-11-13T12:01:47+0800
xs236.gdcloud.com,192.168.14.236,Up,32,25%,2600,134343086976,19470560,信息系统域,信息系统-POD1,z3p1c4,xs236.gdcloud.com,2013-11-14T12:03:30+0800
xs227.gdcloud.com,192.168.11.25,Up,32,38.1%,2600,134344224000,44968200,生产系统资源域,生产系统-POD,khjtz2p1c2,xs227,2013-11-20T16:33:05+0800
xs228.gdcloud.com,192.168.11.26,Up,32,25.6%,2600,134343086976,28055256,生产系统资源域,生产系统-POD,khjtz2p1c2,xs228,2013-11-22T14:44:01+0800
xs06.gdcloud.com,192.168.11.16,Up,32,87.02%,2600,134355017664,48424536,生产系统资源域,生产系统-POD,生产系统集群,xs06,2013-12-18T14:02:22+0800
